duration,flag_OTH,flag_REJ,flag_RSTO,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,src_bytes,dst_bytes,hot,logged_in,num_compromised,root_shell,num_access_files,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,source
13,0,0,0,1,0,0,0,0,0,1,36256,5840,2,1,1,0,1,31,14,0.92,0.93,0.08,0.2,0.42,0.13,0.1,133,71,0.17,0.0,0.01,0.0,0.98,0.01,0.11,0.16,0,gan
0,0,1,0,0,0,0,0,0,0,0,54540,0,0,0,0,0,1,148,24,0.0,0.95,0.17,0.14,0.2,0.07,1.0,130,92,0.3,1.0,0.02,0.0,0.02,0.02,0.0,0.17,0,gan
13,0,1,0,0,0,0,0,0,0,0,53776,2920,0,1,0,0,1,38,19,0.5,0.46,0.67,0.25,0.2,0.23,0.29,85,51,0.01,0.08,0.5,1.0,0.99,0.0,0.45,0.03,0,gan
8,0,1,0,0,1,0,0,0,1,0,54060,0,2,0,1,0,0,56,11,0.97,0.83,0.02,0.6,0.71,0.07,0.67,52,213,0.03,0.05,0.05,0.0,0.67,0.03,0.19,0.42,0,gan
2,0,0,0,1,0,1,0,0,0,0,54060,2920,0,0,1,1,1,144,4,0.71,0.55,0.02,0.05,0.12,0.36,0.18,133,165,0.06,0.02,0.0,1.0,0.03,0.0,0.07,1.0,0,gan
12,0,0,0,0,1,0,1,0,0,0,0,8127,2,0,1,0,1,270,1,0.17,0.92,0.2,0.2,0.52,0.05,0.33,251,71,0.09,0.04,0.05,0.0,0.67,0.03,0.32,0.17,0,gan
8,0,1,0,1,1,0,0,0,1,0,54540,2920,2,1,0,0,1,239,20,0.75,0.95,0.03,0.67,0.26,0.3,0.0,17,118,0.13,0.03,0.02,0.0,0.99,0.02,1.0,0.33,0,gan
0,0,0,0,0,0,0,1,0,0,1,54060,8127,1,0,1,1,1,221,2,0.17,0.83,0.25,0.33,0.17,0.1,0.09,127,214,0.03,0.02,1.0,0.0,0.67,0.02,0.03,0.47,0,gan
13,0,1,0,0,1,1,0,0,0,1,49640,8314,0,1,1,0,1,88,22,0.0,0.17,0.07,0.1,0.32,0.17,1.0,172,74,0.22,0.09,0.09,0.0,0.01,0.0,1.0,0.01,0,gan
12,0,1,0,0,0,0,0,0,1,0,43232,8314,0,0,0,0,1,270,14,0.0,0.89,0.4,0.11,0.23,0.0,0.4,135,96,0.14,0.33,0.04,0.0,0.82,0.0,0.47,0.2,0,gan
4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,130,22,0.92,0.17,0.07,0.14,0.03,0.08,0.67,110,61,0.3,0.05,0.01,0.0,0.67,0.0,0.06,0.47,0,gan
5,0,1,0,0,0,0,1,0,0,1,43232,4380,2,1,1,0,1,223,3,0.5,0.91,0.17,0.25,0.6,0.19,0.0,102,26,0.82,0.07,1.0,0.0,0.03,0.03,0.08,1.0,0,gan
6,0,0,0,1,1,0,0,0,1,0,29200,8314,1,1,1,0,0,99,6,0.0,1.0,0.5,0.08,0.02,0.1,0.6,3,146,0.09,0.08,0.02,0.0,0.02,0.03,0.11,0.16,0,gan
8,0,0,0,1,0,0,0,0,0,0,0,2920,2,0,1,0,0,278,7,0.75,0.43,0.05,0.33,0.17,0.06,0.5,32,91,0.13,0.18,0.17,1.0,0.01,1.0,1.0,0.26,0,gan
2,0,1,0,0,0,1,0,0,0,1,49640,2920,2,0,0,1,1,121,31,0.0,0.94,0.12,0.67,0.93,0.04,0.15,24,6,0.17,0.04,0.5,1.0,0.0,0.0,0.47,0.5,0,gan
5,0,0,0,0,0,0,0,0,0,0,53776,0,0,1,0,0,0,249,10,1.0,0.0,0.17,0.07,0.19,0.4,0.18,50,19,0.05,0.03,0.03,0.0,0.01,0.01,0.05,0.04,0,gan
13,0,0,0,1,1,0,0,0,1,0,53776,8315,1,1,1,1,0,275,6,0.93,0.91,0.03,0.6,0.15,0.0,1.0,127,87,0.13,0.03,0.08,1.0,0.99,0.01,0.05,0.08,0,gan
6,0,0,0,0,1,0,0,0,1,1,49640,7300,2,0,0,0,0,103,31,0.95,0.94,0.2,0.4,0.57,0.4,0.25,180,21,1.0,0.08,0.01,0.0,0.0,0.03,0.0,0.17,0,gan
5,0,0,0,0,0,0,1,0,1,1,29200,5840,0,0,1,0,0,80,30,0.71,0.45,0.07,0.75,0.3,0.23,0.2,38,158,0.23,0.08,1.0,0.0,1.0,0.02,0.34,0.01,0,gan
6,0,0,0,0,0,0,1,0,0,0,54540,8127,0,1,0,0,1,11,2,0.92,0.74,0.4,0.33,0.06,0.23,0.38,19,46,0.25,0.04,0.25,0.0,0.03,1.0,1.0,0.04,0,gan
0,0,1,0,0,1,0,0,0,0,0,47612,8314,0,0,0,1,1,66,10,1.0,0.2,0.17,0.6,0.2,0.12,0.0,20,45,0.16,0.04,0.04,1.0,0.0,1.0,0.06,0.08,0,gan
6,0,1,0,1,1,1,0,0,1,0,29200,2920,0,1,0,1,0,233,7,0.93,0.2,0.67,0.6,0.56,0.67,0.15,69,251,0.02,0.05,0.5,1.0,0.02,1.0,1.0,0.2,0,gan
8,0,1,0,0,1,0,0,0,1,0,54540,5840,2,1,1,1,0,284,14,0.0,0.0,0.67,0.33,0.02,0.16,0.5,237,62,0.03,0.06,0.09,0.0,0.03,0.0,0.45,0.08,0,gan
0,0,1,0,0,1,1,0,0,0,0,53776,8314,0,1,0,0,0,150,20,1.0,0.0,0.25,0.25,0.62,0.06,0.1,246,158,0.23,0.01,0.25,0.0,0.0,0.02,0.2,0.03,0,gan
0,0,0,0,0,1,0,0,0,0,0,43232,2920,0,0,0,0,0,248,8,0.0,0.65,0.67,0.25,0.43,0.06,0.0,160,13,0.67,0.06,0.07,0.0,0.98,0.0,0.08,0.16,0,gan
0,0,1,0,0,0,0,0,0,0,0,47612,5840,1,1,1,0,0,38,21,0.0,0.8,0.0,0.33,0.44,0.17,0.38,50,116,0.09,0.06,0.06,1.0,0.98,1.0,0.45,0.11,0,gan
8,0,1,0,0,1,1,1,0,0,0,0,8314,1,1,1,0,0,132,19,0.99,0.45,0.33,0.5,0.67,0.1,0.12,255,134,0.96,0.06,0.07,1.0,1.0,0.03,0.0,0.04,0,gan
0,0,0,0,0,1,1,0,0,0,0,0,8315,0,0,0,0,0,141,15,1.0,0.39,0.03,0.07,0.75,1.0,0.38,24,100,0.3,0.09,0.11,1.0,0.03,0.01,0.05,0.03,0,gan
5,0,1,0,0,1,0,0,0,1,0,29200,4380,1,0,0,0,0,129,17,0.0,0.14,0.12,0.5,0.52,0.6,0.07,31,13,1.0,0.04,0.5,1.0,0.82,0.01,1.0,0.47,0,gan
12,0,0,0,1,0,0,0,0,0,1,54540,2920,2,1,1,0,1,132,19,0.5,0.9,0.5,0.07,0.02,0.04,0.11,133,69,0.06,0.0,0.33,0.0,0.67,1.0,0.95,0.5,0,gan
0,0,1,0,0,0,0,0,0,0,0,54060,8314,2,0,1,0,0,66,7,0.0,0.12,0.29,0.67,0.63,0.5,0.06,100,46,0.23,0.0,0.0,0.0,1.0,1.0,0.47,1.0,0,gan
12,0,0,0,1,1,0,0,0,0,1,43232,2920,0,0,0,1,1,204,11,0.0,0.17,0.2,0.14,0.57,0.0,0.33,131,251,0.07,0.05,0.02,0.0,0.02,0.02,0.08,0.0,0,gan
0,0,1,0,0,1,0,1,0,0,0,43232,0,0,0,0,0,0,52,1,1.0,0.43,0.0,0.25,0.25,0.18,0.0,1,146,0.17,0.0,0.33,0.0,0.02,0.03,0.33,0.06,0,gan
12,0,1,0,1,1,1,0,0,0,0,0,2920,1,0,0,0,0,101,8,1.0,0.5,0.75,0.14,0.24,0.2,0.67,3,41,0.26,0.18,0.04,0.0,0.02,0.02,0.11,1.0,0,gan
2,0,0,0,0,0,0,1,0,1,0,0,8314,1,0,1,0,0,270,3,0.25,0.65,1.0,0.0,0.14,0.5,0.67,61,35,0.24,0.03,0.25,1.0,1.0,0.01,0.42,0.16,0,gan
0,0,1,0,0,1,1,1,0,0,1,29200,7300,0,1,1,0,1,66,21,0.93,0.67,1.0,0.0,0.56,0.0,0.4,17,68,0.15,0.33,0.33,1.0,1.0,1.0,0.11,0.01,0,gan
6,0,1,0,1,0,0,0,0,1,0,47612,0,0,1,0,0,0,212,15,0.25,0.14,1.0,0.67,0.09,0.11,0.25,197,57,0.07,0.05,0.25,1.0,0.02,0.02,0.19,0.04,0,gan
13,0,0,0,0,0,0,0,0,1,0,53776,8127,2,0,0,0,0,119,16,0.5,0.92,0.33,0.4,0.1,0.11,0.67,213,52,0.2,0.05,0.0,0.0,1.0,1.0,0.05,0.0,0,gan
13,0,0,0,1,0,0,0,0,0,0,43232,8314,2,1,0,0,1,31,3,0.2,0.95,0.5,0.0,0.44,0.44,0.75,15,179,0.29,0.18,0.02,0.0,0.01,0.0,0.16,0.17,0,gan
8,0,1,0,0,1,0,0,0,0,0,36256,8314,0,1,0,1,1,143,20,0.92,0.12,0.08,0.0,0.33,0.04,0.09,146,87,0.06,0.06,0.06,0.0,0.67,0.02,0.08,0.0,0,gan
6,0,0,0,0,1,0,0,0,0,0,0,8314,1,0,1,0,0,242,5,0.92,0.8,0.6,0.5,0.6,0.06,0.09,183,255,0.06,0.0,0.03,0.0,0.01,1.0,0.33,0.11,0,gan
2,0,0,0,0,1,0,0,0,1,0,54540,5840,0,0,0,0,0,201,11,0.98,0.86,0.4,0.08,0.95,0.5,0.5,12,47,0.96,0.06,0.03,1.0,1.0,0.0,0.0,0.03,0,gan
0,0,0,0,1,1,0,0,0,0,0,54060,4380,1,0,0,0,1,8,45,0.98,0.39,0.2,0.05,0.14,0.08,0.1,167,85,0.22,0.08,0.06,0.0,0.82,0.02,0.07,0.08,0,gan
6,0,0,0,0,0,0,0,0,0,1,21048,0,2,0,1,0,0,248,10,0.17,0.2,0.17,0.6,0.71,0.21,0.25,130,16,0.06,0.07,0.06,0.0,0.99,0.01,0.0,0.05,0,gan
6,0,1,0,1,0,1,1,0,0,0,53776,2920,1,0,0,0,0,135,3,0.95,0.43,1.0,0.75,0.5,0.33,0.5,101,130,0.04,0.01,0.11,1.0,0.02,0.0,0.45,0.01,0,gan
5,0,0,0,0,0,0,1,0,0,0,53776,4380,0,1,1,0,0,262,1,0.97,0.26,0.4,0.25,0.33,0.14,0.67,41,58,0.11,0.02,0.33,0.0,0.0,1.0,1.0,0.5,0,gan
0,0,1,0,0,0,0,1,0,1,0,43232,0,0,0,0,1,0,5,1,0.95,0.0,0.33,0.67,0.44,0.19,0.15,91,34,0.26,0.07,0.04,1.0,1.0,0.01,0.04,0.33,0,gan
8,0,0,0,0,0,0,0,0,0,0,0,7300,0,1,0,0,0,136,3,0.0,0.14,0.4,0.05,0.28,0.21,0.75,155,101,0.0,1.0,0.05,0.0,0.99,1.0,0.42,0.2,0,gan
4,0,1,0,0,1,1,0,0,1,1,43232,7300,2,1,0,0,1,288,17,0.98,0.65,1.0,0.17,0.92,0.19,0.06,70,6,0.01,0.02,0.01,0.0,0.03,0.01,0.03,0.05,0,gan
6,0,0,0,1,1,0,1,0,0,1,21048,8127,2,1,0,0,1,29,11,0.17,0.45,0.25,0.25,0.47,0.08,0.09,160,51,0.07,0.06,0.05,1.0,1.0,0.0,0.32,0.34,0,gan
6,0,1,0,1,0,1,0,0,0,1,53208,8314,1,1,0,0,1,106,22,0.0,0.17,1.0,0.67,0.19,0.19,0.25,165,90,0.96,0.06,0.05,0.0,0.0,0.01,0.04,0.0,0,gan
2,0,1,0,0,1,0,0,0,0,0,43232,8314,1,1,1,0,0,234,10,0.0,0.91,0.17,0.4,0.12,0.33,1.0,167,26,0.24,0.05,0.01,0.0,0.0,1.0,0.11,0.04,0,gan
0,0,0,0,0,1,0,0,0,0,0,29200,8314,0,0,1,0,1,5,45,0.2,0.89,1.0,0.4,0.03,0.13,0.29,127,75,0.96,0.06,0.05,0.0,1.0,0.02,0.33,0.42,0,gan
0,0,1,0,0,0,0,0,0,1,1,54060,4380,1,1,0,0,0,243,27,0.75,0.91,1.0,0.25,0.73,0.15,1.0,31,32,0.13,0.0,0.5,1.0,0.0,0.0,1.0,0.2,0,gan
4,0,1,0,0,1,0,0,0,0,0,29200,8314,2,1,0,1,0,47,7,0.0,0.91,0.03,0.5,0.02,0.15,0.15,9,11,0.01,0.03,1.0,1.0,1.0,0.01,0.35,0.5,0,gan
0,0,0,0,1,1,0,0,0,1,1,53776,8127,0,1,1,1,0,42,5,0.98,0.93,0.6,0.05,0.42,0.09,0.06,179,45,0.18,0.02,0.17,0.0,0.0,0.0,0.2,0.34,0,gan
6,0,1,0,0,1,0,1,0,1,0,0,2920,0,1,0,0,0,66,20,0.99,0.0,0.75,0.0,0.07,0.09,0.06,203,17,0.29,1.0,0.11,1.0,0.82,1.0,0.04,0.02,0,gan
12,0,1,0,0,1,0,1,0,0,0,47612,5840,1,0,1,0,0,88,11,0.99,0.8,0.5,0.0,0.67,0.2,1.0,41,132,0.18,0.03,0.5,0.0,0.99,0.0,0.33,0.05,0,gan
13,0,0,0,0,1,0,0,0,1,0,0,4380,0,0,0,0,0,227,1,0.17,0.83,0.02,0.08,0.19,0.6,0.4,152,91,0.04,0.33,0.02,0.0,0.02,0.01,0.47,0.07,0,gan
