,duration,flag_OTH,flag_REJ,flag_RSTO,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,src_bytes,dst_bytes,hot,logged_in,num_compromised,root_shell,num_access_files,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,source
6508,0,0,0,0,0,0,0,0,0,1,0,289,8822,0,1,0,0,0,4,33,0.0,0.0,0.0,0.0,1.0,0.0,0.09,141,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,1,original
6134,0,0,0,0,0,0,0,0,0,1,0,54540,8314,2,1,1,0,0,3,4,0.0,0.0,0.0,0.25,1.0,0.0,0.5,255,255,1.0,0.0,0.0,0.0,0.01,0.01,0.05,0.05,0,original
2760,0,0,0,0,0,0,0,0,0,1,0,216,709,0,1,0,0,0,9,16,0.0,0.0,0.0,0.0,1.0,0.0,0.19,136,137,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,1,original
438,0,0,0,0,0,0,0,0,0,1,0,223,923,0,1,0,0,0,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,205,255,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1,original
2283,0,0,0,0,0,0,0,0,0,1,0,241,795,0,1,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
5426,0,0,0,0,0,0,0,0,0,1,0,234,1410,0,1,0,0,0,19,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
5933,0,0,0,0,0,0,0,0,0,1,0,292,434,0,1,0,0,0,18,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
6114,0,0,0,0,0,0,0,0,0,1,0,54540,8314,2,1,1,0,0,1,2,0.0,0.0,0.0,0.5,1.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0,original
3968,0,0,0,0,0,0,0,0,0,1,0,214,1600,0,1,0,0,0,5,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
2208,0,0,0,0,0,0,0,0,0,1,0,225,1905,0,1,0,0,0,38,39,0.0,0.0,0.0,0.0,1.0,0.0,0.05,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
6232,0,0,0,0,0,0,0,0,0,1,0,255,310,0,1,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
5223,0,0,0,0,0,0,0,0,0,1,0,236,189,0,1,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,original
7651,0,0,0,0,0,0,0,0,0,1,0,355,2142,0,1,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,1,original
4166,0,0,0,0,0,0,0,0,0,1,0,201,926,0,1,0,0,0,13,14,0.0,0.0,0.0,0.0,1.0,0.0,0.14,26,255,1.0,0.0,0.04,0.09,0.0,0.0,0.0,0.0,1,original
6087,0,0,0,0,0,0,0,0,0,1,0,162,30113,0,1,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
1737,0,0,0,0,0,0,0,0,0,1,0,244,2295,0,1,0,0,0,5,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,148,148,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,original
373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,10,0.0,0.0,1.0,1.0,0.04,0.06,0.0,255,10,0.04,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0,original
2995,0,0,0,0,0,0,0,0,0,1,0,218,480,0,1,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,255,1.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0,1,original
5866,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8,3,0.38,0.25,0.12,0.0,0.0,0.0,0.38,1.0,1,original
6759,0,0,0,0,0,0,0,0,0,1,0,195,1947,0,1,0,0,0,17,20,0.0,0.0,0.0,0.0,1.0,0.0,0.15,17,255,1.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,1,original
4541,0,0,0,0,0,0,0,0,0,1,0,216,6329,0,1,0,0,0,32,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
4511,0,0,0,0,0,0,0,0,0,1,0,276,6773,0,1,0,0,0,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.67,45,255,1.0,0.0,0.02,0.03,0.0,0.02,0.0,0.02,1,original
5749,0,0,0,0,0,0,0,0,0,1,0,322,272,0,1,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,227,0.89,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1,original
1747,0,0,0,0,0,0,0,0,0,1,0,206,955,0,1,0,0,0,8,18,0.0,0.0,0.0,0.0,1.0,0.0,0.17,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
7180,0,0,0,0,0,0,0,0,0,1,0,287,2459,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,255,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,1,original
7896,0,0,0,0,0,0,0,0,0,1,0,268,2974,0,1,0,0,0,10,13,0.0,0.0,0.0,0.0,1.0,0.0,0.23,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
4404,0,0,0,0,0,0,0,0,0,1,0,199,5137,0,1,0,0,0,12,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,175,255,1.0,0.0,0.01,0.02,0.0,0.0,0.15,0.35,1,original
3656,0,0,0,0,0,0,0,0,0,1,0,360,4425,0,1,0,0,0,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
