is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target
1,1,0,1,0,1,0,2,1,0,0
1,1,0,1,0,2,0,3,0,18,0
1,0,0,1,0,0,1,0,0,133,0
1,1,0,1,0,1,1,2,0,58,0
1,1,0,1,0,2,1,3,0,29,0
1,1,1,1,0,3,1,5,0,146,0
1,1,1,1,0,5,1,7,0,0,1
1,1,0,1,0,6,1,9,0,21,1
1,1,0,1,0,7,1,10,0,30,1
1,1,0,1,0,8,1,12,0,463,1
1,0,0,1,0,0,2,0,0,3,0
1,1,0,1,0,1,2,2,0,28,0
1,1,1,1,0,2,2,4,0,287,0
1,0,0,1,0,0,3,0,0,733,0
1,1,0,1,0,1,3,2,0,90,0
1,1,0,1,0,3,3,6,0,13,0
1,0,0,1,0,0,4,0,0,4105,0
1,0,0,1,0,0,7,0,0,8,0
1,1,0,1,0,1,0,3,1,0,0
1,1,0,1,0,1,0,5,1,0,0
1,1,0,1,0,1,0,8,1,0,0
1,1,0,1,0,2,0,11,0,8,1
1,1,0,1,0,1,0,12,1,0,0
1,1,0,1,0,1,0,13,1,0,0
1,0,0,1,0,0,1,0,0,12,0
1,1,0,1,0,2,0,1,0,13,0
1,1,0,1,0,2,0,2,0,10,0
1,1,0,1,0,2,0,3,0,11,0
1,0,0,1,0,0,1,0,0,13,0
1,0,0,1,0,0,1,0,0,7,0
1,0,0,1,0,0,1,0,0,15,0
1,0,0,1,0,0,1,0,0,23,0
1,1,0,1,0,1,1,4,0,30,0
1,0,0,1,0,0,2,0,0,59,0
1,1,0,1,0,2,0,1,0,12,0
1,1,0,1,0,3,0,2,0,7,0
1,1,0,1,0,1,0,4,1,0,0
1,1,0,1,0,1,2,2,0,25,0
1,0,0,1,0,0,3,0,0,7,0
1,1,0,1,0,1,1,2,0,124,0
1,0,0,1,0,0,2,0,0,113,0
1,1,0,1,0,2,1,1,0,7,0
1,1,0,1,0,3,1,2,0,4,0
1,0,0,1,0,0,2,0,0,131,0
1,1,0,1,0,5,1,3,0,8,0
1,0,0,1,0,0,8,0,0,99909,0
1,1,0,1,0,1,8,2,0,767,0
1,0,0,1,0,0,9,0,0,9,0
0,1,1,1,0,2,0,3,0,10,0
0,1,1,1,0,3,0,4,0,16,0
0,1,1,1,0,4,0,6,0,38,0
0,1,1,1,0,5,0,8,0,54,1
0,1,1,1,0,6,0,9,0,10,1
0,1,1,1,0,7,0,10,0,1,1
0,1,1,1,0,8,0,13,0,24,1
0,1,1,1,0,9,0,14,0,14,1
0,1,1,1,0,10,0,15,0,13,1
1,0,0,1,0,0,10,0,0,713,0
0,1,1,1,0,11,0,2,0,41,0
0,1,1,1,0,12,0,4,0,116,0
0,1,1,1,0,13,0,5,0,14,0
0,1,1,1,0,14,0,6,0,8,0
1,1,0,0,2,2,0,2,0,3,0
1,1,0,0,3,3,0,3,0,4,0
1,1,0,0,4,4,0,4,0,5,0
1,1,0,0,5,5,0,5,0,3,0
1,1,0,0,7,7,0,7,0,3,1
1,1,0,0,8,8,0,8,0,3,1
1,1,0,0,9,9,0,9,0,3,1
1,1,0,0,10,10,0,10,0,3,1
1,1,0,0,11,11,0,11,0,3,1
1,1,0,0,12,12,0,12,0,3,1
1,1,0,0,13,13,0,13,0,4,1
1,1,0,0,14,14,0,14,0,3,1
1,1,0,0,15,15,0,15,0,3,1
1,1,0,0,16,16,0,16,0,3,1
1,1,0,0,17,17,0,17,0,4,1
1,1,0,0,18,18,0,18,0,6,1
1,1,0,0,19,19,0,19,0,4,1
1,1,0,0,20,20,0,20,0,3,1
1,1,0,0,21,21,0,21,0,4,1
1,1,0,0,22,22,0,22,0,4,1
1,1,0,0,23,23,0,23,0,3,1
1,1,0,0,24,24,0,24,0,3,1
1,1,0,0,25,25,0,25,0,3,1
1,1,0,0,26,26,0,26,0,3,1
1,1,0,0,27,27,0,27,0,4,1
1,1,0,0,29,29,0,29,0,4,1
1,1,0,0,30,30,0,30,0,3,1
1,1,1,1,0,31,0,31,0,3,1
1,1,0,0,2,33,0,33,0,3,1
1,1,0,0,4,35,0,35,0,3,1
1,1,0,0,5,36,0,36,0,3,1
1,1,0,0,6,37,0,37,0,3,1
1,1,0,0,7,38,0,38,0,3,1
1,1,0,0,8,39,0,39,0,4,1
1,1,0,0,9,40,0,40,0,3,1
1,1,0,0,12,43,0,43,0,9,1
1,1,0,0,13,44,0,44,0,3,1
1,1,0,0,14,45,0,45,0,8,1
1,0,0,1,0,0,2,0,0,62,0
1,1,1,1,0,2,2,3,0,39,0
1,0,0,1,0,0,3,0,0,9,0
1,0,0,1,0,0,2,0,0,80,0
1,0,0,1,0,0,2,0,0,354,0
1,1,0,1,0,1,2,2,0,54,0
1,1,0,1,0,3,2,4,0,5,0
1,1,1,1,0,4,2,6,0,623,0
1,1,0,0,1,6,2,8,0,1351,1
1,1,1,1,0,7,2,10,0,285,1
1,1,1,1,0,8,2,11,0,6,1
1,0,0,1,0,0,5,0,0,5312,0
1,1,0,0,1,9,2,1,0,1722,0
1,1,0,0,2,10,2,3,0,28,0
1,1,0,0,4,12,2,5,0,257,0
1,1,0,0,5,13,2,7,0,14,1
1,1,0,0,6,14,2,8,0,6,1
1,0,0,1,0,0,7,0,0,142,0
1,0,0,1,0,0,8,0,0,13,0
1,0,0,1,0,0,9,0,0,120,0
1,1,0,1,0,1,9,2,0,72,0
1,1,0,1,0,2,9,4,0,279,0
1,1,0,1,0,3,9,5,0,89,0
1,1,0,1,0,4,9,7,0,21,0
1,1,0,1,0,5,9,8,0,59,0
1,1,1,1,0,7,9,11,0,24,0
1,0,0,1,0,0,10,0,0,311,0
1,0,0,1,0,0,11,0,0,142,0
1,0,0,1,0,0,12,0,0,33,0
1,0,0,1,0,0,13,0,0,29,0
1,1,1,1,0,15,2,2,0,2118,0
1,1,1,1,0,16,2,4,0,5637,0
1,0,0,1,0,0,14,0,0,6697,0
1,1,1,1,0,18,2,1,0,1086,0
1,1,1,1,0,19,2,2,0,1,0
1,0,0,1,0,0,4,0,0,26,0
1,0,0,1,0,0,5,0,0,851,0
1,1,0,1,0,1,5,2,0,9,0
1,1,0,1,0,2,5,3,0,3,0
1,0,0,1,0,0,6,0,0,1980,0
1,0,0,1,0,0,7,0,0,13,0
1,0,0,1,0,0,8,0,0,71,0
1,0,0,1,0,0,9,0,0,12,0
1,0,0,1,0,0,10,0,0,17,0
1,1,0,1,0,3,14,5,0,83,0
1,0,0,1,0,0,11,0,0,180,0
1,0,0,1,0,0,12,0,0,62,0
1,0,0,1,0,0,16,0,0,53,0
1,0,0,1,0,0,17,0,0,65,0
1,0,0,1,0,0,18,0,0,417,0
1,0,0,1,0,0,19,0,0,138376,0
1,0,0,1,0,0,20,0,0,137,0
1,1,0,1,0,2,20,3,0,0,0
1,1,0,1,0,3,20,4,0,15,0
1,1,0,1,0,6,20,9,0,9,0
1,1,0,1,0,8,20,12,0,11,0
1,0,0,1,0,0,21,0,0,11,0
1,1,0,1,0,1,21,2,0,3507,0
1,1,0,1,0,2,21,3,0,61,0
1,1,0,1,0,3,21,6,0,7,0
1,1,0,1,0,4,21,7,0,3,0
1,1,0,0,1,3,0,12,0,42,1
1,1,0,0,2,4,0,13,0,9,1
1,1,0,0,1,5,21,14,0,355,0
1,1,0,0,2,6,21,15,0,11,0
1,1,0,0,3,7,21,16,0,21,0
1,1,1,1,0,6,0,19,0,14,1
1,1,1,1,0,7,0,20,0,6,1
1,1,0,1,0,8,21,22,0,78,0
1,0,0,1,0,0,22,0,0,7,0
1,1,0,0,1,1,22,1,0,235,0
1,1,0,0,3,3,22,4,0,106,0
1,1,0,0,4,4,22,6,0,4,0
1,1,0,0,2,2,14,9,0,4,0
1,1,0,0,3,3,14,10,0,6,0
1,1,0,0,5,5,14,12,0,15,0
1,1,0,0,6,6,14,14,0,3,0
1,1,0,0,7,7,14,15,0,12,0
1,1,0,0,8,8,14,17,0,4,0
1,1,0,0,6,6,22,21,0,224,0
1,1,0,0,7,7,22,22,0,153,0
1,1,0,0,10,10,14,23,0,738,0
1,1,0,0,8,8,22,24,0,279,0
1,1,0,0,9,9,22,26,0,18,0
1,1,0,0,10,10,22,27,0,5526,0
1,0,0,1,0,0,23,0,0,195,0
1,0,0,1,0,0,24,0,0,104,0
1,0,0,1,0,0,25,0,0,46,0
1,0,0,1,0,0,27,0,0,19,0
1,0,0,1,0,0,28,0,0,451,0
1,0,0,1,0,0,29,0,0,12,0
1,1,0,1,0,1,29,2,0,6,0
1,1,0,1,0,2,29,3,0,90,0
1,0,0,1,0,0,30,0,0,270,0
1,0,0,1,0,0,31,0,0,6,0
1,0,0,1,0,0,32,0,0,9,0
1,1,0,1,0,2,32,3,0,33,0
1,1,0,1,0,4,32,6,0,13,0
1,0,0,1,0,0,33,0,0,8,0
1,1,0,0,1,1,33,1,0,9,0
1,1,0,0,2,2,33,2,0,64,0
1,1,0,0,3,3,33,3,0,1,0
1,1,0,0,11,11,14,4,0,7973,0
1,1,0,0,12,12,14,6,0,8,0
1,1,0,0,13,13,14,7,0,6,0
1,1,0,0,14,14,14,8,0,1803,1
1,1,0,1,0,1,1,2,0,61,0
1,0,0,1,0,0,2,0,0,25,0
1,1,0,1,0,2,0,3,0,13,0
1,1,0,1,0,3,0,5,0,10,0
1,1,0,1,0,4,0,6,0,10,0
1,1,0,1,0,5,0,8,0,8,0
1,1,0,1,0,6,0,9,0,19,0
1,1,0,1,0,7,0,11,0,15,1
1,1,0,1,0,8,0,12,0,21,1
1,1,0,1,0,9,0,13,0,16,1
0,1,0,1,0,7,0,12,0,14,1
0,1,1,1,0,9,0,14,0,13,1
1,1,0,0,20,20,0,20,0,3,1
1,1,0,0,10,10,0,10,0,3,1
1,1,1,1,0,7,1,13,0,6,1
1,1,0,0,19,19,0,19,0,3,1
0,1,0,1,0,8,0,13,0,13,1
1,1,0,0,11,12,11,8,0,1532,1
0,1,0,1,0,8,0,13,0,14,1
1,1,0,1,0,6,0,9,0,18,1
1,1,0,0,0,5,0,12,0,30,1
0,1,0,0,1,4,0,11,0,9,1
1,1,0,0,15,15,0,15,0,3,1
0,1,0,1,0,6,0,10,0,34,1
1,1,0,1,0,7,0,15,0,15,1
1,1,1,1,0,5,1,7,0,1,1
0,1,1,1,0,7,0,10,0,1,1
1,1,0,0,21,21,0,21,0,4,1
1,1,0,0,18,18,0,18,0,5,1
1,1,0,0,9,9,0,9,0,3,1
1,1,0,0,1,3,0,12,0,8,1
0,1,0,0,3,11,1,9,0,14,1
1,1,0,0,28,28,0,28,0,3,1
1,1,0,0,6,37,0,37,0,3,1
0,1,1,1,0,7,0,18,0,7,1
0,1,1,1,0,9,0,14,0,13,1
0,1,1,1,0,8,0,14,0,13,1
1,1,0,0,6,9,0,7,0,3,1
1,1,0,0,23,23,0,23,0,3,1
1,1,0,0,21,21,0,21,0,3,1
1,1,0,0,8,39,0,39,0,4,1
1,1,0,0,15,15,0,15,0,3,1
1,1,0,0,13,13,0,13,0,3,1
1,1,0,0,19,19,0,19,0,3,1
1,1,0,0,8,39,0,39,0,3,1
0,1,1,1,0,8,0,15,0,14,1
1,1,0,1,0,6,0,9,0,20,1
1,1,0,0,14,14,0,14,0,3,1
1,1,0,0,13,44,0,44,0,5,1
1,1,0,0,10,10,0,10,0,3,1
1,1,0,0,23,23,0,23,0,3,1
1,1,0,0,12,43,0,43,0,4,1
1,1,0,0,8,8,0,8,0,3,1
1,1,0,0,16,16,0,16,0,3,1
1,1,0,0,25,25,0,25,0,3,1
1,1,0,0,1,3,0,12,0,8,1
0,1,0,0,4,12,1,7,0,13,1
1,1,0,1,0,8,0,12,0,15,1
1,1,0,0,22,22,0,22,0,3,1
1,1,0,0,19,19,0,19,0,3,1
1,1,0,1,0,6,0,13,0,14,1
0,1,1,1,0,5,0,7,0,0,1
1,1,0,0,10,10,0,10,0,3,1
1,1,0,0,25,25,0,25,0,3,1
1,1,0,0,22,22,0,22,0,3,1
0,1,0,1,0,7,0,11,0,22,1
1,1,0,0,29,29,0,29,0,3,1
0,1,1,1,0,9,0,14,0,13,1
0,1,0,1,0,8,0,13,0,16,1
1,1,0,0,11,11,0,11,0,3,1
0,1,1,1,0,8,0,16,0,10,1
1,1,0,1,0,8,0,12,0,18,1
1,1,0,0,24,24,0,24,0,3,1
0,1,0,1,0,4,0,9,0,9,1
1,1,0,0,23,23,0,23,0,3,1
1,1,1,1,0,6,1,9,0,3,1
1,1,0,0,8,8,0,8,0,3,1
1,1,0,0,11,11,0,11,0,3,1
0,1,1,1,0,8,0,17,0,9,1
1,1,0,0,25,25,0,25,0,3,1
1,1,0,0,1,32,0,32,0,3,1
1,1,0,0,10,10,0,10,0,3,1
1,1,0,0,1,3,0,11,0,305,1
1,1,0,1,0,7,1,10,0,246,1
1,1,0,0,5,36,0,36,0,3,1
1,1,0,0,26,26,0,26,0,3,1
1,1,0,0,0,6,2,9,0,435,1
1,1,0,0,27,27,0,27,0,3,1
1,1,0,0,1,3,0,12,0,8,1
1,1,0,0,20,20,0,20,0,3,1
1,1,0,0,4,35,0,35,0,3,1
1,1,0,0,8,8,0,8,0,3,1
1,1,0,0,6,37,0,37,0,3,1
1,1,0,0,25,25,0,25,0,3,1
1,1,0,0,18,18,0,18,0,4,1
1,1,0,0,13,13,0,13,0,3,1
0,1,0,1,0,8,0,12,0,21,1
1,1,0,0,27,27,0,27,0,3,1
1,1,0,0,14,14,0,14,0,3,1
1,1,0,0,3,12,1,8,0,14,1
1,1,0,0,0,7,1,10,0,870,1
1,1,0,0,9,9,0,9,0,3,1
1,1,0,0,0,3,0,11,0,37,1
1,1,0,0,7,7,0,7,0,3,1
1,1,0,1,0,7,0,11,0,15,1
1,1,0,0,17,17,0,17,0,3,1
1,1,0,0,12,12,0,12,0,3,1
0,1,1,1,0,9,0,14,0,13,1
1,1,0,0,15,15,0,15,0,3,1
0,1,1,1,0,7,0,16,0,14,1
0,1,0,1,0,6,0,10,0,12,1
0,1,0,1,0,5,0,9,0,9,1
1,1,0,1,0,7,1,10,0,200,1
1,1,0,1,0,6,1,9,0,23,1
0,1,0,0,2,7,0,9,0,1,1
1,1,0,0,0,6,2,8,0,1174,1
1,1,0,0,13,13,13,8,0,1795,1
0,1,0,1,0,6,0,9,0,12,1
1,1,0,0,0,4,0,10,0,33,1
1,1,0,0,9,11,10,8,0,1357,1
1,1,0,1,0,6,0,9,0,21,1
1,1,0,1,0,6,0,9,0,21,1
0,1,0,0,4,7,4,8,0,558,1
1,1,0,1,0,6,1,11,0,6,1
0,1,0,1,0,3,0,10,0,8,1
0,1,1,1,0,8,0,13,0,13,1
0,1,0,0,4,8,4,8,0,664,1
1,1,0,1,0,7,0,11,0,21,1
1,1,0,0,2,8,2,11,0,663,1
1,1,0,1,0,4,0,11,0,7,1
1,1,0,1,0,6,1,9,0,29,1
0,1,0,0,8,10,8,8,0,1154,1
0,1,0,0,5,7,0,8,0,2,1
0,1,0,1,0,8,0,12,0,170,1
0,1,1,1,0,7,1,10,0,7,1
1,1,0,1,0,6,1,9,0,27,1
1,1,0,0,6,9,7,8,0,1549,1
0,1,1,1,0,6,0,9,0,42,1
0,1,0,1,0,7,0,12,0,23,1
1,1,0,0,2,8,2,11,0,665,1
0,1,0,0,5,7,0,8,0,2,1
1,1,0,0,10,11,10,8,0,1387,1
1,1,0,0,2,5,0,7,0,0,1
0,1,0,1,0,7,0,11,0,446,1
0,1,1,1,0,7,1,10,0,4,1
1,1,0,0,0,7,0,12,0,416,1
1,1,0,0,0,4,0,11,0,36,1
1,1,0,1,0,6,1,9,0,22,1
1,1,1,1,0,7,1,10,0,5,1
1,1,0,0,0,2,0,11,0,8,1
0,1,0,0,4,7,0,8,0,2,1
0,1,0,1,0,5,0,10,0,3,1
0,1,0,1,0,2,0,10,0,8,1
1,1,0,1,0,7,0,11,0,24,1
0,1,0,0,1,4,0,11,0,9,1
1,1,0,0,0,2,0,11,0,8,1
1,1,0,0,0,7,1,11,0,513,1
1,1,0,0,6,9,6,8,0,1532,1
0,1,0,0,0,5,0,8,0,449,1
0,1,0,1,0,6,0,10,0,14,1
0,1,0,0,0,6,0,12,0,30,1
1,1,0,0,0,5,0,10,0,33,1
1,1,0,0,12,12,12,8,0,1617,1
1,1,0,1,0,7,0,10,0,18,1
1,1,0,1,0,4,0,7,0,1,1
0,1,0,0,0,5,1,8,0,810,1
1,1,0,1,0,7,1,10,0,305,1
1,1,0,1,0,3,0,11,0,7,1
1,1,0,1,0,6,1,9,0,28,1
1,1,0,0,0,4,0,12,0,34,1
1,1,0,0,0,3,0,12,0,81,1
1,1,1,1,0,5,1,8,0,1,1
1,1,0,0,0,7,1,10,0,775,1
0,1,0,0,0,7,0,9,0,1,1
1,1,0,0,0,6,2,8,0,975,1
1,1,1,1,0,5,1,8,0,1,1
0,1,0,1,0,5,0,8,0,48,1
