is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target
1,1,0,1,0,8,0,12,0,16,1
1,1,0,1,0,7,0,11,0,23,1
0,1,0,0,1,7,0,9,0,1,1
1,1,0,1,0,5,0,17,0,86,1
1,1,0,1,0,6,0,10,0,16,1
1,1,0,0,0,6,0,12,0,27,1
1,1,0,0,1,3,0,12,0,8,1
1,1,0,1,0,8,0,11,0,16,1
0,1,0,1,0,6,0,9,0,10,1
1,1,0,1,0,4,0,11,0,7,1
1,1,0,1,0,4,0,17,0,85,1
1,1,0,1,0,2,0,11,0,72,1
1,1,0,1,0,5,0,11,0,12,1
1,1,0,0,0,5,0,10,0,33,1
1,1,0,1,0,5,1,7,0,15,1
1,1,0,1,0,5,1,8,0,17,1
1,1,0,1,0,3,0,11,0,10,1
1,1,0,1,0,3,0,10,0,176,1
0,1,0,1,0,4,0,9,0,9,1
1,1,0,0,0,3,0,11,0,40,1
1,1,0,1,0,6,0,14,0,285,1
1,1,0,1,0,2,0,11,0,8,1
1,1,0,1,0,8,0,11,0,17,1
0,1,0,1,0,3,0,10,0,6,1
0,1,1,1,0,5,0,8,0,12,1
1,1,0,1,0,5,0,16,0,173,1
1,1,0,0,0,2,0,11,0,8,1
1,1,0,0,3,6,0,7,0,1,1
1,1,0,0,0,4,0,15,0,67,1
0,1,0,1,0,2,0,10,0,8,1
1,1,0,1,0,6,0,9,0,20,1
0,1,0,1,0,2,0,10,0,7,1
1,1,0,1,0,4,0,9,0,38,1
0,1,1,1,0,7,0,10,0,2,1
1,1,0,1,0,5,1,7,0,18,1
0,1,0,0,6,7,0,7,0,2,1
0,1,0,1,0,5,0,9,0,9,1
1,1,0,1,0,5,0,14,0,59,1
1,1,0,0,0,2,0,11,0,48,1
1,1,0,1,0,6,1,9,0,27,1
1,1,0,1,0,6,0,9,0,20,1
1,1,0,1,0,6,1,9,0,25,1
1,1,0,1,0,7,0,10,0,28,1
1,1,0,1,0,2,0,10,0,97,1
1,1,0,1,0,5,1,8,0,20,1
1,1,0,1,0,6,1,9,0,24,1
1,1,0,0,0,5,0,9,0,23,1
1,1,0,0,1,3,0,12,0,8,1
1,1,0,0,0,3,0,11,0,37,1
1,1,0,1,0,8,0,12,0,16,1
0,1,1,1,0,7,1,10,0,7,1
1,1,0,0,0,3,0,12,0,123,1
0,1,0,1,0,6,0,10,0,1,1
1,1,0,1,0,5,0,16,0,66,1
1,1,0,1,0,2,0,10,0,64,1
1,1,0,0,0,3,0,10,0,36,1
0,1,1,1,0,6,0,8,0,0,1
1,1,0,0,0,3,0,11,0,39,1
1,1,0,1,0,5,0,17,0,139,1
0,1,1,1,0,5,0,8,0,10,1
0,1,0,0,3,7,0,8,0,2,1
1,1,0,0,0,2,0,10,0,58,1
1,1,0,0,0,3,0,11,0,37,1
1,1,0,1,0,6,0,9,0,20,1
1,1,0,0,0,4,0,12,0,34,1
1,1,0,0,0,2,0,11,0,43,1
1,1,0,1,0,4,0,8,0,2,1
1,1,0,1,0,6,0,14,0,52,1
0,1,0,0,1,4,0,11,0,9,1
1,1,0,1,0,5,1,8,0,15,1
1,1,0,1,0,7,0,11,0,22,1
1,1,0,1,0,7,0,11,0,20,1
1,1,0,0,0,6,0,12,0,356,1
1,1,0,1,0,6,0,14,0,276,1
1,1,0,0,0,4,0,11,0,38,1
1,1,0,1,0,7,0,10,0,26,1
1,1,0,1,0,5,1,8,0,20,1
1,1,0,0,0,4,0,12,0,206,1
1,1,0,1,0,8,0,11,0,22,1
0,1,0,0,0,7,0,9,0,1,1
0,1,1,1,0,6,0,9,0,8,1
0,1,1,1,0,5,0,7,0,0,1
1,1,0,1,0,6,0,9,0,19,1
1,1,0,0,1,5,0,7,0,0,1
1,1,0,0,0,5,0,12,0,29,1
1,1,0,1,0,6,0,10,0,15,1
1,1,0,1,0,5,0,16,0,71,1
0,1,1,1,0,6,0,9,0,0,1
1,1,0,1,0,5,0,10,0,39,1
1,1,0,1,0,5,0,15,0,71,1
1,1,0,0,0,6,0,12,0,26,1
1,1,0,1,0,6,0,15,0,62,1
1,1,0,1,0,5,1,11,0,6,1
1,1,0,1,0,6,0,10,0,19,1
1,1,0,0,1,3,0,12,0,8,1
0,1,0,1,0,5,0,9,0,9,1
1,1,0,1,0,6,1,9,0,28,1
0,1,1,1,0,6,0,9,0,8,1
1,1,0,0,0,2,0,10,0,64,1
1,1,0,0,0,6,0,10,0,30,1
1,1,0,1,0,4,0,11,0,12,1
0,1,1,1,0,5,0,7,0,0,1
0,1,0,1,0,2,0,10,0,7,1
1,1,0,1,0,6,1,9,0,25,1
1,1,0,1,0,6,0,9,0,21,1
0,1,0,0,5,7,0,8,0,2,1
1,1,0,1,0,5,0,16,0,75,1
1,1,0,1,0,6,1,9,0,27,1
1,1,0,1,0,7,1,11,0,394,1
0,1,0,1,0,6,0,10,0,1,1
