is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target
1,1,0,1,0,5,1,7,0,15,1
1,1,0,0,19,19,0,19,0,4,1
1,1,0,0,22,22,0,22,0,3,1
1,1,0,0,7,7,0,7,0,2,1
1,1,0,0,13,44,0,44,0,8,1
1,1,0,1,0,6,0,9,0,15,1
0,1,0,0,1,4,0,12,0,9,1
1,1,0,0,16,16,0,16,0,4,1
1,1,0,0,4,35,0,35,0,3,1
1,1,0,0,10,41,0,41,0,5,1
1,1,0,0,13,44,0,44,0,3,1
1,1,0,0,0,6,1,9,0,1062,1
1,1,0,0,13,13,0,13,0,3,1
1,1,0,0,9,9,0,9,0,3,1
1,1,0,0,25,25,0,25,0,3,1
1,1,0,0,7,7,0,7,0,3,1
1,1,0,0,12,43,0,43,0,5,1
1,1,0,0,27,27,0,27,0,2,1
1,1,0,0,22,22,0,22,0,3,1
1,1,0,0,16,16,0,16,0,3,1
1,1,0,0,10,10,0,10,0,3,1
0,1,1,1,0,5,1,7,0,13,1
1,1,0,0,3,5,0,7,0,1,1
1,1,0,1,0,2,0,9,0,5,1
0,1,0,1,0,3,0,10,0,6,1
1,1,0,0,17,17,0,17,0,5,1
1,1,0,0,17,17,0,17,0,5,1
0,1,0,1,0,8,0,12,0,19,1
1,1,0,0,0,7,1,10,0,855,1
1,1,0,0,1,4,1,9,0,822,1
1,1,0,0,12,43,0,43,0,8,1
0,1,0,0,0,5,0,10,0,9,1
1,1,0,0,4,35,0,35,0,3,1
1,1,0,0,11,42,0,42,0,3,1
1,1,0,1,0,8,0,12,0,17,1
1,1,0,1,0,6,1,9,0,27,1
1,1,0,0,16,16,0,16,0,3,1
1,1,0,0,13,44,0,44,0,4,1
1,1,0,1,0,8,0,12,0,16,1
1,1,0,0,0,5,0,12,0,31,1
1,1,0,1,0,2,0,10,0,70,1
1,1,0,0,18,18,0,18,0,4,1
1,1,0,0,19,19,0,19,0,4,1
1,1,0,0,10,10,0,10,0,3,1
1,1,0,0,19,19,0,19,0,4,1
1,1,0,0,21,21,0,21,0,4,1
1,1,0,0,10,10,0,10,0,3,1
1,1,0,0,27,27,0,27,0,2,1
1,1,0,0,6,37,0,37,0,3,1
1,1,0,0,0,5,1,10,0,195,1
1,1,0,0,7,7,0,7,0,3,1
1,1,0,1,0,5,1,7,0,16,1
1,1,0,0,16,16,0,16,0,4,1
1,1,0,0,29,29,0,29,0,2,1
1,1,0,1,0,3,0,8,0,3,1
1,1,0,0,13,13,0,13,0,3,1
1,1,0,1,0,5,0,10,0,38,1
1,1,0,0,23,23,0,23,0,3,1
1,1,0,0,16,16,0,16,0,4,1
1,1,0,0,8,39,0,39,0,3,1
1,1,0,0,29,29,0,29,0,2,1
1,1,0,0,2,5,0,7,0,0,1
1,1,0,1,0,7,1,10,0,324,1
1,1,0,0,5,36,0,36,0,3,1
1,1,0,0,5,36,0,36,0,3,1
1,1,0,0,13,13,0,13,0,3,1
1,1,0,0,0,7,0,12,0,422,1
1,1,0,1,0,6,0,11,0,14,1
0,1,0,1,0,9,0,13,0,15,1
1,1,0,0,10,10,0,10,0,3,1
1,1,0,1,0,8,0,12,0,20,1
1,1,0,0,18,18,0,18,0,5,1
1,1,0,0,9,9,0,9,0,3,1
1,1,0,1,0,6,1,9,0,28,1
0,1,1,1,0,6,0,9,0,8,1
1,1,0,1,0,7,1,11,0,408,1
0,1,0,1,0,9,0,14,0,13,1
1,1,0,0,1,5,1,8,0,1121,1
1,1,0,1,0,7,0,11,0,21,1
1,1,0,0,0,5,0,12,0,31,1
1,1,0,0,17,17,0,17,0,4,1
1,1,0,0,12,12,0,12,0,3,1
1,1,0,0,6,37,0,37,0,3,1
1,1,0,0,7,38,0,38,0,3,1
0,1,0,1,0,5,0,9,0,9,1
1,1,0,0,14,14,0,14,0,3,1
1,1,0,0,0,4,0,12,0,34,1
1,1,0,0,3,34,0,34,0,3,1
1,1,0,1,0,8,0,12,0,15,1
1,1,0,0,0,7,1,11,0,590,1
1,1,0,0,9,9,0,9,0,3,1
1,1,0,0,8,8,0,8,0,3,1
1,1,0,0,5,36,0,36,0,3,1
1,1,0,0,22,22,0,22,0,3,1
1,1,0,0,0,2,0,11,0,48,1
1,1,0,0,6,37,0,37,0,3,1
1,1,1,1,0,5,0,14,0,170,1
0,1,0,0,2,7,0,9,0,1,1
1,1,0,0,10,10,0,10,0,3,1
0,1,1,1,0,6,0,9,0,9,1
1,1,0,1,0,7,0,11,0,21,1
1,1,0,0,18,18,0,18,0,5,1
1,1,0,0,9,40,0,40,0,3,1
1,1,0,0,6,37,0,37,0,3,1
0,1,1,1,0,6,0,9,0,9,1
1,1,0,0,23,23,0,23,0,3,1
0,1,0,1,0,8,0,13,0,14,1
1,1,0,0,0,2,0,11,0,8,1
0,1,1,1,0,9,0,15,0,13,1
1,1,0,1,0,3,0,15,0,80,1
