word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_;,char_freq_C,char_freq_I,char_freq_!,char_freq_$,char_freq_#,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam,source
1.17,0.58,0.96,0.0,0.53,1.4,1.21,0.51,0.21,1.21,0.47,0.54,0.03,1.08,0.17,2.06,0.13,0.17,3.5,0.4,3.26,5.78,1.08,0.51,0.21,0.0,0.43,8.33,0.0,0.0,0.55,0.0,0.7,0.12,0.08,0.71,0.31,0.19,0.57,0.33,0.0,0.13,0.05,0.02,1.36,0.94,0.34,0.0,0.0409999999999999,0.121,0.447,0.126,0.4629999999999999,0.024,8.0,26,279,1,gan
1.0,1.2,0.72,1.33,0.16,0.53,2.46,0.0,0.84,1.04,0.24,1.88,0.43,0.05,1.46,1.13,1.07,3.43,4.25,1.65,2.51,5.55,1.08,1.2,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.33,0.17,0.19,0.0,1.47,0.25,0.54,0.09,0.0,0.0,0.02,0.0,0.86,0.94,0.04,0.11,0.123,0.118,0.0069999999999999,0.099,1.212,0.132,11.0,278,133,1,gan
0.93,0.26,1.1,0.04,1.92,0.38,4.0,1.28,1.42,0.56,0.0,1.91,0.72,0.08,0.5,0.29,0.67,0.13,4.21,3.03,2.37,17.1,0.71,0.27,0.34,0.0,1.28,0.44,0.0,0.11,0.0,0.0,0.48,0.0,0.09,0.98,0.41,0.12,0.47,0.93,0.0,0.03,0.12,0.0,5.55,0.44,0.0,0.0,0.061,0.11,0.145,0.382,0.121,0.293,5.659,4,258,1,gan
0.68,1.09,1.14,1.33,0.02,1.26,0.02,0.15,1.3,0.47,0.63,1.74,0.52,0.87,0.58,1.27,2.98,1.45,2.47,1.13,2.11,1.5,0.45,1.46,0.02,1.77,0.0,0.36,0.11,0.24,0.0,0.0,0.53,1.35,0.03,0.35,1.4,0.02,0.64,0.04,0.0,0.45,0.49,0.96,0.17,0.08,0.0,0.77,0.287,0.291,0.079,0.118,0.062,0.103,3.895,22,134,1,gan
0.38,0.59,0.25,19.16,1.27,0.1,0.08,3.12,0.48,0.61,0.04,1.51,1.61,1.32,0.83,4.76,0.86,1.41,0.62,2.82,1.36,1.93,0.1,0.31,0.21,0.05,0.0,1.36,0.11,2.24,0.4,0.47,0.59,0.0,0.1,0.62,0.64,0.36,0.02,0.53,0.1,0.36,0.0,0.02,0.33,0.57,0.34,0.0,0.0139999999999999,0.032,0.0,1.453,0.062,1.985,5.792000000000001,763,3033,1,gan
1.61,0.45,1.51,19.16,1.88,0.6,0.69,0.62,0.55,0.52,0.1,0.88,1.03,0.92,0.83,0.36,0.54,0.97,1.31,0.15,3.32,9.09,0.41,6.66,0.33,1.49,0.0,0.36,0.11,0.18,0.0,0.0,0.41,0.19,0.47,1.15,0.0,0.19,0.25,0.29,0.0,0.13,0.64,1.05,0.84,0.0,0.03,0.0,0.451,0.24,0.33,0.238,0.402,0.396,1.833,192,28,1,gan
0.31,0.79,0.65,0.19,0.61,1.4,0.83,0.06,0.22,1.04,0.38,0.09,0.67,0.87,0.46,2.04,0.11,0.17,1.27,0.81,2.88,7.63,1.36,0.02,0.04,1.77,0.0,0.73,0.06,0.86,0.0,0.0,1.4,0.3,0.0,0.34,1.21,0.09,0.08,0.38,0.0,0.25,0.0,0.0,0.93,0.46,0.34,0.26,0.004,0.042,0.079,0.552,0.764,0.096,2.466,78,271,1,gan
0.09,0.48,0.8,40.13,0.07,0.35,0.47,0.98,0.59,0.0,0.34,2.31,1.6,0.64,2.12,0.4,0.18,1.29,0.56,1.05,3.24,2.43,0.09,1.47,0.26,1.77,0.43,0.1,0.11,0.86,0.4,0.47,0.7,0.12,0.6,1.33,0.1,1.56,0.09,0.37,0.0,0.0,0.19,1.16,0.93,0.81,0.11,0.09,0.335,0.278,0.059,0.0559999999999999,0.306,0.026,4.181,59,334,1,gan
0.06,0.72,0.47,0.44,3.09,0.98,0.14,0.86,0.59,0.96,0.34,2.58,0.3,0.37,0.22,5.35,0.69,1.56,2.83,0.49,2.03,0.38,1.31,2.04,0.0,0.36,0.0,0.19,0.47,3.38,0.0,0.47,1.36,0.12,0.6,0.45,0.93,0.46,1.07,0.38,0.0,0.0,0.02,0.0,5.55,1.56,0.0,0.41,0.503,0.067,0.186,0.591,0.36,0.335,4.85,213,414,1,gan
0.7,0.36,2.22,0.6,0.52,2.54,1.26,0.18,1.34,1.26,0.48,2.3,0.28,0.53,0.59,0.38,0.81,0.17,2.09,0.0,0.71,17.1,1.09,1.2,0.33,1.49,0.0,0.42,0.0,0.11,0.0,0.0,1.03,1.35,0.0,0.72,0.17,0.36,0.33,0.26,0.0,0.34,0.38,0.03,0.35,2.5,0.11,0.24,0.115,0.8290000000000001,0.054,0.179,0.064,4.008,7.541,2042,389,1,gan
