is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target,source
1,1,0,0,9,40,0,40,0,3,1,smote
1,1,0,0,19,19,0,19,0,4,1,smote
1,1,0,0,12,43,0,43,0,3,1,smote
1,1,0,0,17,17,0,17,0,4,1,smote
0,1,0,0,1,4,0,11,0,9,1,smote
1,1,0,0,8,39,0,39,0,3,1,smote
1,1,0,0,12,43,0,43,0,8,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,23,23,0,23,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,0,10,41,0,41,0,3,1,smote
1,1,0,1,0,7,0,11,0,18,1,smote
1,1,0,0,2,33,0,33,0,3,1,smote
1,1,0,0,4,8,5,8,0,1474,1,smote
0,1,0,1,0,6,0,10,0,13,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
0,1,0,1,0,7,0,11,0,27,1,smote
1,1,0,0,4,35,0,35,0,3,1,smote
1,1,0,0,0,31,0,31,0,3,1,smote
1,1,0,0,5,36,0,36,0,3,1,smote
1,1,0,0,19,19,0,19,0,4,1,smote
1,1,0,0,16,16,0,16,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,0,3,0,11,0,39,1,smote
1,1,0,0,0,3,0,12,0,38,1,smote
1,1,0,1,0,7,0,11,0,16,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
0,1,0,0,0,5,0,9,0,9,1,smote
1,1,0,0,6,37,0,37,0,3,1,smote
1,1,0,0,23,23,0,23,0,3,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,1,0,5,1,8,0,15,1,smote
0,1,0,1,0,5,0,8,0,49,1,smote
0,1,0,0,0,7,0,12,0,24,1,smote
1,1,0,0,26,26,0,26,0,2,1,smote
0,1,1,1,0,7,0,12,0,24,1,smote
1,1,0,1,0,6,0,16,0,16,1,smote
1,1,0,0,20,20,0,20,0,3,1,smote
0,1,0,0,1,4,0,11,0,9,1,smote
